"Year","CN","RW"
1864,"17T16",1.3
1865,"17T16",1.4
1866,"17T16",1.7
1867,"17T16",1.72
1868,"17T16",2.01
1869,"17T16",2.51
1870,"17T16",2.65
1871,"17T16",2.86
1872,"17T16",3.28
1873,"17T16",4.42
1874,"17T16",4.4
1875,"17T16",5.17
1876,"17T16",4.01
1877,"17T16",3.73
1878,"17T16",2.83
1879,"17T16",3.31
1880,"17T16",2.64
1881,"17T16",2.62
1882,"17T16",3.53
1883,"17T16",4.88
1884,"17T16",3.91
1885,"17T16",4.33
1886,"17T16",4.26
1887,"17T16",3.83
1888,"17T16",3.31
1889,"17T16",3.94
1890,"17T16",3.25
1891,"17T16",2.87
1892,"17T16",3.75
1893,"17T16",3.97
1894,"17T16",2.83
1895,"17T16",2.25
1896,"17T16",2.09
1897,"17T16",1.74
1898,"17T16",2.83
1899,"17T16",1.99
1900,"17T16",2.71
1901,"17T16",4.13
1902,"17T16",4.1
1903,"17T16",3.65
1904,"17T16",2.37
1905,"17T16",2.67
1906,"17T16",2.49
1907,"17T16",2.56
1908,"17T16",2.76
1909,"17T16",2.76
1910,"17T16",3.58
1911,"17T16",4.87
1912,"17T16",5.74
1913,"17T16",4.29
1914,"17T16",3.05
1915,"17T16",1.98
1916,"17T16",1.82
1917,"17T16",1.3
1918,"17T16",0.79
1919,"17T16",0.99
1920,"17T16",1.22
1921,"17T16",1.16
1922,"17T16",0.7
1923,"17T16",0.41
1924,"17T16",0.55
1925,"17T16",0.39
1926,"17T16",0.32
1927,"17T16",0.6
1928,"17T16",0.83
1929,"17T16",1.03
1930,"17T16",1.47
1931,"17T16",2.24
1932,"17T16",2.86
1933,"17T16",0.7
1934,"17T16",3.71
1935,"17T16",1.78
1936,"17T16",1.75
1937,"17T16",2.75
1938,"17T16",2.69
1939,"17T16",1.93
1940,"17T16",2.11
1941,"17T16",2.59
1942,"17T16",2.44
1943,"17T16",2.53
1944,"17T16",1.8
1945,"17T16",0.88
1946,"17T16",2.03
1947,"17T16",2.48
1948,"17T16",2.67
1949,"17T16",2.25
1950,"17T16",2.19
1951,"17T16",2.69
1952,"17T16",1.46
1953,"17T16",2.1
1954,"17T16",2.25
1955,"17T16",2.12
1956,"17T16",2.24
1957,"17T16",2.26
1958,"17T16",1.76
1959,"17T16",1.53
1960,"17T16",0
1961,"17T16",0.28
1962,"17T16",0.5
1963,"17T16",0.54
1964,"17T16",0.72
1965,"17T16",0.84
1966,"17T16",0.91
1967,"17T16",1.26
1968,"17T16",1.24
1969,"17T16",1.24
1970,"17T16",1.66
1971,"17T16",1.73
1972,"17T16",1.2
1973,"17T16",0.71
1974,"17T16",0.37
1975,"17T16",0.54
1976,"17T16",0.65
1977,"17T16",0.89
1978,"17T16",0.98
1979,"17T16",0.67
1980,"17T16",0.96
1981,"17T16",0.8
1982,"17T16",0.73
1983,"17T16",0.7
1984,"17T16",0.72
1985,"17T16",0.67
1986,"17T16",0.69
1987,"17T16",0.6
1988,"17T16",0.55
1989,"17T16",0.63
1990,"17T16",0.62
1991,"17T16",0.45
1992,"17T16",0.44
1993,"17T16",0.47
1994,"17T16",0.69
1995,"17T16",0.6
1996,"17T16",0.49
1997,"17T16",0.48
1998,"17T16",0.6
1999,"17T16",0.48
2000,"17T16",0.65
2001,"17T16",0.3
2002,"17T16",0.45
2003,"17T16",0.55
2004,"17T16",0.42
2005,"17T16",0.56
2006,"17T16",0.45
2007,"17T16",0.63
2008,"17T16",0.69
2009,"17T16",0.78
2010,"17T16",1.05
2011,"17T16",1.12
2012,"17T16",1.4
2013,"17T16",1.06
2014,"17T16",1.04
2015,"17T16",1.24
2016,"17T16",0.96
2017,"17T16",1.03
1966,"17T18",4.85
1967,"17T18",4.97
1968,"17T18",4.68
1969,"17T18",4.95
1970,"17T18",5.61
1971,"17T18",7.12
1972,"17T18",4.89
1973,"17T18",3.71
1974,"17T18",4.75
1975,"17T18",4.93
1976,"17T18",6.21
1977,"17T18",3.58
1978,"17T18",4.14
1979,"17T18",4.67
1980,"17T18",5.47
1981,"17T18",4.99
1982,"17T18",4.66
1983,"17T18",5.34
1984,"17T18",4.61
1985,"17T18",3.43
1986,"17T18",2.65
1987,"17T18",5.74
1988,"17T18",5.37
1989,"17T18",3.72
1990,"17T18",2.74
1991,"17T18",3.31
1992,"17T18",2.8
1993,"17T18",2.83
1994,"17T18",2.77
1995,"17T18",3.04
1996,"17T18",3.18
1997,"17T18",3.32
1998,"17T18",4.13
1999,"17T18",2.92
2000,"17T18",2.06
2001,"17T18",1.68
2002,"17T18",2.03
2003,"17T18",2.11
2004,"17T18",2.64
2005,"17T18",2.17
2006,"17T18",1.93
2007,"17T18",1.92
2008,"17T18",2.98
2009,"17T18",1.77
2010,"17T18",2.52
2011,"17T18",2.77
2012,"17T18",3.12
2013,"17T18",1.79
2014,"17T18",1.8
2015,"17T18",2.21
2016,"17T18",2.2
2017,"17T18",2.48
1962,"17T19",5.1
1963,"17T19",6.38
1964,"17T19",6.01
1965,"17T19",6.94
1966,"17T19",8.37
1967,"17T19",6.31
1968,"17T19",12.75
1969,"17T19",14.26
1970,"17T19",6.65
1971,"17T19",8.94
1972,"17T19",7.21
1973,"17T19",6.9
1974,"17T19",7.5
1975,"17T19",6.42
1976,"17T19",7.41
1977,"17T19",9.06
1978,"17T19",11.69
1979,"17T19",7.12
1980,"17T19",7.44
1981,"17T19",8.06
1982,"17T19",5.26
1983,"17T19",8.54
1984,"17T19",8.76
1985,"17T19",6.39
1986,"17T19",6.89
1987,"17T19",5.5
1988,"17T19",7.83
1989,"17T19",7.1
1990,"17T19",7.32
1991,"17T19",4.96
1992,"17T19",4.74
1993,"17T19",4.09
1994,"17T19",2.92
1995,"17T19",4.5
1996,"17T19",5.84
1997,"17T19",5.98
1998,"17T19",5
1999,"17T19",4.05
2000,"17T19",2.71
2001,"17T19",3.45
2002,"17T19",4.3
2003,"17T19",2.66
2004,"17T19",2.64
2005,"17T19",3.6
2006,"17T19",2.95
2007,"17T19",3.33
2008,"17T19",2.77
2009,"17T19",3.38
2010,"17T19",3.65
2011,"17T19",4.26
2012,"17T19",3.76
2013,"17T19",2.5
2014,"17T19",1.86
2015,"17T19",1.48
2016,"17T19",1.94
2017,"17T19",2.33
1999,"17T21",3.14
2000,"17T21",2.55
2001,"17T21",3.96
2002,"17T21",4.44
2003,"17T21",4.29
2004,"17T21",6.23
2005,"17T21",6.47
2006,"17T21",5.7
2007,"17T21",4.02
2008,"17T21",3.69
2009,"17T21",4.62
2010,"17T21",5.08
2011,"17T21",5.96
2012,"17T21",5.15
2013,"17T21",4.08
2014,"17T21",4.25
2015,"17T21",3.76
2016,"17T21",4
2017,"17T21",3.63
1975,"17T22",4.17
1976,"17T22",5.33
1977,"17T22",5.22
1978,"17T22",6.6
1979,"17T22",6.13
1980,"17T22",7.27
1981,"17T22",7.91
